User_Handle,User_Type,Anonymity_Class,Verified_Status,Handle_URL,Image_Path,Post_URL,Date,Post_Content,Linked_URL,Likes,Comments,Reposts,PreElection_Post, 
paulbrandtv,Individual,Highly Identifiable,Verified,https://www.threads.net/@paulbrandtv,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-19/357784321_1611676942990169_517205461797358311_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=105&_nc_ohc=XEyG2M3EIrUQ7kNvgHE_Ovx&_nc_gid=978469bf45c34e78abdc2ca384ebd359&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYBAyhOIVzVmR1CGQlUus1kWtB76JuM22cun26VztyqcJA&oe=66E40B35&_nc_sid=10d13b,https://www.threads.net/@paulbrandtv/post/C3Zt8jnocKo,16/02/2024,In both the Wellingborough and Kingswood by-elections Reform UK achieved double digits. The squeeze they are putting on Rishi Sunak is real. Expect the Conservatives to continue tacking right in the run up to the general election.,,53,9,7,Yes,
marcowenjones,Individual,Highly Identifiable,Verified,https://www.threads.net/@marcowenjones,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-19/361130630_1030852544470390_8746007505606753555_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=110&_nc_ohc=dbGexPJeeTMQ7kNvgFoWGWO&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYBeKZBYa32lur_ldcCPNE98g7jE7U65oLrE5529ETe6jw&oe=66E419D5&_nc_sid=10d13b,https://www.threads.net/@marcowenjones/post/C9KB064tQGO,08/07/2024,"1/ 📝Excited to announce the release of ""The Qatar Plot,"" authored by myself &  Sohan Dsouza. This investigation (covered in @afpnewsagency 
 today) reveals a massive influence op targeting Qatar & Muslims, including in the US, UK and EU - ahead of European Elections sites.google.com/view…  ",,9,14,3,No,
warrenoates1,Individual,Identifiable,Unverified,https://www.threads.net/@warrenoates1,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-19/376241385_1018624739484657_4702347216657980232_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Gyg0lyAEpFIQ7kNvgHshljT&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYD8o2vK5hqDjFs3ju2zLqxBS218SqoRKFImVqGZnswgcw&oe=66E4032A&_nc_sid=10d13b,https://www.threads.net/@warrenoates1/post/C9SvshLifdz,11/07/2024,"This is awful and worrying. Far too much hate and violence has been directed towards candidates in the last election, especially Labour candidates. Voter intimidation and also attempts to unduly influence and control how people vote also appears to have happened.",bbc.com,78,5,10,No,
yvanyonaha,Individual,Identifiable,Unverified,https://www.threads.net/@yvanyonaha,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-19/407983247_1703869586757530_4606394663617557732_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=102&_nc_ohc=ov92gDvUyS4Q7kNvgF1lmXV&_nc_gid=978469bf45c34e78abdc2ca384ebd359&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYA559rBk9i_L6MvCo0ovH5MlTNQ85pk8cMEfUrMOV2xdw&oe=66E41F9E&_nc_sid=10d13b,https://www.threads.net/@yvanyonaha/post/C9JoW8US_px,08/07/2024,"In case you think there’s no hope in the Philippines mid-term elections, Labor wins in UK and the United Left stemmed the Far Right’s rise in France.  ",,2,5,,No,
andreanbadass,Individual,Identifiable,Unverified,https://www.threads.net/@andreanbadass,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-19/434564771_293523963621661_6961333769368955423_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=101&_nc_ohc=WzxHMHjyjD0Q7kNvgG_vv-j&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYC4EWm0zvam9OP5cUXcE300sc2vxD_xtVmiZ3rsv6eTsQ&oe=66E42E12&_nc_sid=10d13b,https://www.threads.net/@andreanbadass/post/Cz09dPZSGFN,19/11/2023,"in the most democratic countries, such as the UK, elections will decide the next government or cause a substantial change in policy  ",,,,,Yes,
hoylandjames,Individual,Identifiable,Unverified,https://www.threads.net/@hoylandjames,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-19/359734013_6212035595511898_3689465599598301978_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=110&_nc_ohc=_hdbQDW-8A0Q7kNvgEccLfc&_nc_gid=978469bf45c34e78abdc2ca384ebd359&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDGtiRVIdkHe--G4Z-d3MjulXLpqxiZgFlxDyaen0Yaow&oe=66E41D1F&_nc_sid=10d13b,https://www.threads.net/@hoylandjames/post/C6fOrKfxRVe,03/05/2024,"I'd like to raise a glass to the poll worker on the desk who looked Boris Johnson, former PM who introduced voter ID in the UK, dead in the eye and told him, no, he'd have to go home and get his ID if he wanted to vote.  theguardian.com/uk-ne…  ",theguardian.com,11,4,2,Yes,
the_village_loon,Individual,Anonymous,Unverified,https://www.threads.net/@the_village_loon,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-19/429482944_6661973957240358_169410586737472874_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=106&_nc_ohc=KIX62x4T-uUQ7kNvgGfeGXU&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCqGtqVJmitoo_JDY0pSKuJ7SeBQPcAFUsitSNf2Y2Lgg&oe=66E431D1&_nc_sid=10d13b,https://www.threads.net/@the_village_loon/post/CwKTOG7gVxk,20/08/2023,"The right wing in America want to up the voting age, nothing to do with ability to make a meaningful decision, purely as the young vote left. They want to rig the elections! Meanwhile in the UK we are governed by the party that openly stated the only reason they wouldn't lower the voting age is because young people wouldn't vote for them. The GOP knows demographics are against them—particularly among young people. So they’re trying to change the demographics—by denying young people their right to vote.",,1,,,Yes,
giuliabo67,Individual,Identifiable,Unverified,https://www.threads.net/@giuliabo67,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-19/358003064_662240808695615_8194669034804142275_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=111&_nc_ohc=X6Vw3OwQQ6UQ7kNvgHd4ZuB&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAsrGV-jaxNTN4iqnS_uYOkNvnYIzY1eOm5rpaem_y4zg&oe=66E41458&_nc_sid=10d13b,https://www.threads.net/@giuliabo67/post/C9CLbCeILoH,05/07/2024,The absolute delight of waking up to a Labour landslide in the UK! UnitedKingdomGeneralElections  ,,2,,,No,
malpix23,Individual,Identifiable,Unverified,https://www.threads.net/@malpix23,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-19/446560471_7445109455596717_6497733551618873177_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=101&_nc_ohc=UqYUpYiJtP4Q7kNvgH0qPOm&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDbA0EHYpF_1nS4U5mlM6naU6K5WhBMLJAhR2SqHUrZ5A&oe=66E42CA5&_nc_sid=10d13b,https://www.threads.net/@malpix23/post/C9PnWkEM1jY,10/07/2024,In the UK Israel interference in our elections and politics is actively welcomed as they have colonised and fund both the major parties. Read more: middleeastmonitor.com/20240… ,,4,,,No,
moreyearsinengland,Individual,Anonymous,Unverified,https://www.threads.net/@moreyearsinengland,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-19/358352444_237739919051819_7888009294455341560_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Ycg5I7nla4MQ7kNvgHi9UrG&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYB0hfXNP5YVkWiqVeFrsvjhaiYCW4NiDh4pjzfaZdaqKQ&oe=66E4152A&_nc_sid=10d13b,https://www.threads.net/@moreyearsinengland/post/Cu81CqGNCQU,21/07/2023,"There were three by-elections held in the UK on Thursday, 20 July 2023. The by-elections were held in the following constituencies:  ",,3,,,Yes,
